date,year,week,id_project,project_name,start_price,rank
2024-04-13,2024,15,22465,ORDI,43.0,1.0
2024-04-13,2024,15,5918,CertiK,0.707328,2.0
2024-04-13,2024,15,11494,IX Swap,0.408036,3.0
2024-04-13,2024,15,1259,Tellor,47.04,4.0
2024-04-13,2024,15,2792,f(x) Coin,0.146697,5.0
2024-04-13,2024,15,6098,Wemix Token,1.46,6.0
2024-04-13,2024,15,20875,Moon Tropica,16.57,7.0
2024-04-13,2024,15,21068,Cheelee,15.71,8.0
2024-04-13,2024,15,5923,Akash Network,3.13,9.0
2024-04-13,2024,15,5921,Audius,0.15987,10.0
2024-04-13,2024,15,7325,Vaiot,0.204566,11.0
2024-04-13,2024,15,21330,Bittensor,455.63,12.0
2024-04-13,2024,15,1150,Thorchain,4.6,13.0
2024-04-13,2024,15,15732,Ronin,2.75,14.0
2024-04-13,2024,15,7709,My Neighbor Alice,1.071,15.0
2024-04-13,2024,15,15628,Pocket Network,0.135757,16.0
2024-04-13,2024,15,7864,PlayDapp,0.072259,17.0
2024-04-13,2024,15,17379,Arc,0.050509,18.0
2024-04-13,2024,15,19533,Agoras: Currency of Tau,3.71,19.0
2024-04-13,2024,15,18598,LeverFi,0.00218959,20.0
2024-04-13,2024,15,5289,Stafi,0.524412,21.0
2024-04-13,2024,15,22271,ArbDoge AI,3.09993e-10,22.0
2024-04-13,2024,15,675,Chromia,0.286065,23.0
2024-04-13,2024,15,10418,The Open Network,5.78,24.0
2024-04-13,2024,15,10897,Ribbon Finance,1.21,25.0
2024-04-13,2024,15,3747,Solana,124.25,26.0
2024-04-13,2024,15,18408,Kaspa,0.10726,27.0
2024-04-13,2024,15,3751,Helium,4.08,28.0
2024-04-13,2024,15,9792,Osmosis,0.874853,29.0
2024-04-13,2024,15,6643,Tokenlon,0.872473,30.0
2024-04-13,2024,15,9803,Wrapped Centrifuge,0.636142,31.0
2024-04-13,2024,15,10879,Lido Staked SOL,148.99,32.0
2024-04-13,2024,15,9427,Centrifuge,0.642741,33.0
2024-04-13,2024,15,19439,DIMO,0.304916,34.0
2024-04-13,2024,15,21262,Echelon Prime,18.25,35.0
2024-04-13,2024,15,18795,WhiteBIT Token,9.02,36.0
2024-04-13,2024,15,1040,Quant,88.54,37.0
2024-04-13,2024,15,19303,Iagon,0.130536,38.0
2024-04-13,2024,15,382,Bitcoin Cash,463.33,39.0
2024-04-13,2024,15,9753,Loom Network (NEW),0.067546,40.0
2024-04-13,2024,15,408,Bitcoin SV,61.95,41.0
2024-04-13,2024,15,4469,Render Token,6.68,42.0
2024-04-13,2024,15,5682,Flamingo Finance,0.084608,43.0
2024-04-13,2024,15,996,Maker,2576.08,44.0
2024-04-13,2024,15,1281,OriginTrail,0.860802,45.0
2024-04-13,2024,15,8054,Illuvium,86.5,46.0
2024-04-13,2024,15,1187,MovieBloc,0.00373463,47.0
2024-04-13,2024,15,6597,Frax Share,4.27,48.0
2024-04-13,2024,15,512,Blockstack,2.19,49.0
2024-04-13,2024,15,19695,Coinbase Wrapped Staked ETH,3125.77,50.0
2024-04-13,2024,15,14423,GMT Token,0.340438,51.0
2024-04-13,2024,15,18840,Hifi Finance,0.680703,52.0
2024-04-13,2024,15,19999,Hooked Protocol,0.760785,53.0
2024-04-13,2024,15,20281,Metaplex,0.225331,54.0
2024-04-13,2024,15,1094,Fetch.ai,1.73,55.0
2024-04-13,2024,15,5288,Perpetual Protocol,0.895105,56.0
2024-04-13,2024,15,13879,Rocket Pool ETH,3211.84,57.0
2024-04-13,2024,15,3750,UMA,2.25,58.0
2024-04-13,2024,15,18839,Staked Frax Ether,3137.39,59.0
2024-04-13,2024,15,1059,iExec RLC,2.1,60.0
2024-04-13,2024,15,1137,Livepeer,10.01,61.0
2024-04-13,2024,15,989,Huobi Token,0.556522,62.0
2024-04-13,2024,15,1103,Gnosis,315.48,63.0
2024-04-13,2024,15,3752,Cartesi,0.164602,64.0
2024-04-13,2024,15,13247,Victoria VR,0.0225499,65.0
2024-04-13,2024,15,17769,Nosana,2.72,66.0
2024-04-13,2024,15,659,ChainLink,12.25,67.0
2024-04-13,2024,15,22466,Milady Meme Coin,1.14761e-07,68.0
2024-04-13,2024,15,215,Ark,0.654035,69.0
2024-04-13,2024,15,7175,Litentry,0.859286,70.0
2024-04-13,2024,15,16945,ApeX,2.45,71.0
2024-04-13,2024,15,6035,Conflux Token,0.205134,72.0
2024-04-13,2024,15,1011,Theta Network,1.83,73.0
2024-04-13,2024,15,991,Ethereum Classic,23.78,74.0
2024-04-13,2024,15,528,Bluzelle,0.364194,75.0
2024-04-13,2024,15,990,NEO,15.95,76.0
2024-04-13,2024,15,1132,Reserve Rights Token,0.00521038,77.0
2024-04-13,2024,15,10703,eCash,4.87e-05,78.0
2024-04-13,2024,15,18785,SaucerSwap,0.086782,79.0
2024-04-13,2024,15,18492,Forta,0.19972,80.0
2024-04-13,2024,15,13100,SSV Network,32.71,81.0
2024-04-13,2024,15,114,aelf,0.523145,82.0
2024-04-13,2024,15,3,0x,0.443179,83.0
2024-04-13,2024,15,1443,Prometeus,9.83,84.0
2024-04-13,2024,15,4340,Compound,47.92,85.0
2024-04-13,2024,15,8283,MiL.k Alliance,0.332242,86.0
2024-04-13,2024,15,18773,EthereumPoW,3.34,87.0
2024-04-13,2024,15,7234,JasmyCoin,0.0187769,88.0
2024-04-13,2024,15,1065,Elastos,3.26,89.0
2024-04-13,2024,15,4927,Tokamak Network,2.1,90.0
2024-04-13,2024,15,7227,Auction,14.65,91.0
2024-04-13,2024,15,1007,Nervos Network,0.0216948,92.0
2024-04-13,2024,15,4713,Orion Protocol,1.48,93.0
2024-04-13,2024,15,18821,Axelar,0.956797,94.0
2024-04-13,2024,15,4702,Wrapped NXM,57.77,95.0
2024-04-13,2024,15,1095,Storj,0.449442,96.0
2024-04-13,2024,15,6583,Staked Ether,2885.01,97.0
2024-04-13,2024,15,1101,SingularityNET,0.674476,98.0
2024-04-13,2024,15,755,Constellation,0.0427524,99.0
2024-04-13,2024,15,204,Aragon,7.36,100.0
