date,year,week,id_project,project_name,start_price,end_price,performance,rank
2023-09-30,2023,39,986,Monero,147.01,154.47,0.05074484728930011,64.0
2023-09-30,2023,39,18126,Optimism,1.36,1.28,-0.058823529411764754,65.0
2023-09-30,2023,39,16660,Rollbit Coin,0.123005,0.136881,0.11280842242185277,66.0
2023-09-30,2023,39,291,Basic Attention Token,0.17964,0.173067,-0.03658984635938541,67.0
2023-09-30,2023,39,1052,Golem,0.183509,0.185928,0.013181914783471135,68.0
2023-09-30,2023,39,3752,Cartesi,0.130819,0.129833,-0.007537131456439714,69.0
2023-09-30,2023,39,382,Bitcoin Cash,236.42,229.79,-0.028043312748498417,70.0
2023-09-30,2023,39,15831,Everscale,0.0453624,0.040418,-0.10899776025959815,71.0
2023-09-30,2023,39,3127,Everipedia,0.00486846,0.00475915,-0.022452685243382838,72.0
2023-09-30,2023,39,1281,OriginTrail,0.235405,0.22446,-0.046494339542490645,73.0
2023-09-30,2023,39,5792,DeXe,2.24,2.23,-0.004464285714285817,74.0
2023-09-30,2023,39,13193,Radix,0.056999,0.0476463,-0.16408533483043558,75.0
2023-09-30,2023,39,3457,inSure,0.00349189,0.00349201,3.436534369631375e-05,76.0
2023-09-30,2023,39,3756,JUST,0.0251873,0.023412,-0.07048393436374684,77.0
2023-09-30,2023,39,8283,MiL.k Alliance,0.257097,0.257396,0.0011629851768009494,78.0
2023-09-30,2023,39,1036,Polygon,0.534878,0.56519,0.05667086700144707,79.0
2023-09-30,2023,39,947,DigiByte,0.00632091,0.00633763,0.0026451887465571335,80.0
2023-09-30,2023,39,996,Maker,1539.14,1401.39,-0.08949803136816663,81.0
2023-09-30,2023,39,408,Bitcoin SV,31.62,35.43,0.12049335863377604,82.0
2023-09-30,2023,39,9195,APENFT,3.30393e-07,3.17254e-07,-0.0397677916905019,83.0
2023-09-30,2023,39,5083,Shiba Inu,7.36e-06,7.21e-06,-0.02038043478260873,84.0
2023-09-30,2023,39,13245,OEC Token,12.94,12.93,-0.000772797527047897,85.0
2023-09-30,2023,39,6154,e-Radix,0.056849,0.0477539,-0.15998698306038797,86.0
2023-09-30,2023,39,994,VeChain,0.0173583,0.016978,-0.021908827477345138,87.0
2023-09-30,2023,39,282,Band Protocol,1.13,1.083,-0.041592920353982245,88.0
2023-09-30,2023,39,978,Ethereum,1680.29,1633.8,-0.027667843050901933,89.0
2023-09-30,2023,39,1016,Swipe,0.290783,0.289748,-0.0035593552580446865,90.0
2023-09-30,2023,39,1010,Nano,0.624006,0.652085,0.044997964763159454,91.0
2023-09-30,2023,39,9792,Osmosis,0.313443,0.294961,-0.05896446881889228,92.0
2023-09-30,2023,39,12263,Immutable X,0.58615,0.560334,-0.044043333617674575,93.0
2023-09-30,2023,39,5923,Akash Network,0.814367,0.91379,0.12208623384788436,94.0
2023-09-30,2023,39,1007,Nervos Network,0.00279739,0.00275757,-0.014234697342880282,95.0
2023-09-30,2023,39,6723,Lido DAO,1.73,1.56,-0.09826589595375719,96.0
2023-09-30,2023,39,4341,Balancer,3.35,3.25,-0.029850746268656744,97.0
2023-09-30,2023,39,10703,eCash,2.468e-05,2.493e-05,0.010129659643435951,98.0
2023-09-30,2023,39,309,Beldex,0.0317234,0.0315337,-0.005979813008693929,99.0
2023-09-30,2023,39,1235,Dock,0.0159931,0.0150247,-0.06055111266733776,100.0
2023-08-05,2023,31,988,OKB,44.92,48.15,0.07190560997328577,1.0
2023-08-05,2023,31,7426,Mask Network,3.49,3.48,-0.0028653295128940486,2.0
2023-08-05,2023,31,11675,Bone ShibaSwap,1.73,1.65,-0.04624277456647403,3.0
